audio,transcription
segments_ffmpeg\MYP_00405_00000.wav,"어이 해피야, 라이프치히 측면 정도는 가볍게 허물 수 있지?"
segments_ffmpeg\MYH_10478_00001.wav,그런데 C10이라는 이 셀은
segments_ffmpeg\MYS_08967_00002.wav,그리고 저의 고쳐될 점을 발견했기 때문에.
segments_ffmpeg\KNG_06314_00003.wav,앞서 경찰청 특별수사본부는 김 청장을 업무상 과실치사상 혐의로 지난 13일 검찰에 불구속 송치했습니다.
segments_ffmpeg\MYC_08986_00004.wav,하면서 계단 2 3 4 새끼손가락 자 여기 끝에는 12번입니다.
segments_ffmpeg\KNB_06064_00005.wav,최대 매수 종목이 삼성전자인데 10조 원 이상 사들이며 외국인 매수에 78퍼센트를 차지했습니다.
segments_ffmpeg\MYA_06911_00006.wav,랩터스는 파스칼시아캄에게 맥스 계약을 줄 생각이 없고 파스칼시아캄은 어쨌든 랩터스에 남아야 더 좋은 조건의 계약을 받기 때문에 현재 트레이드가 된다고 한다면 어쩔 수 없지만 내가 트레이드가 되는 팀과는 연장 계약을 맺지 않을 것이라고 이야기를 하는 거잖아요.
segments_ffmpeg\MYN_07602_00007.wav,자 오늘 영상이 도움이 되셨다면요.
segments_ffmpeg\KNA_11483_00008.wav,자유 세계의 공고한 연대가 결국 한반도와 우크라이나에 평화를 정착시키고 자유의 승리를 안겨다 주리라고 저는 확신합니다.
segments_ffmpeg\MYS_08967_00009.wav,말을 안 해서 그랬나 봐요..
segments_ffmpeg\MYT_12105_00010.wav,안주 먹어 얼른.
segments_ffmpeg\KNJ_03518_00011.wav,이후에 기상 전망은 어떻게 예보가 되고 있습니까.
segments_ffmpeg\MYJ_02320_00012.wav,물이 나옵니다.
segments_ffmpeg\MYE_05229_00013.wav,"그다음에 근로자가 자 이 근로자는 뭐 정직원, 알바 뭐 파트 뭐 그런 거 구분하지 않습니다."
segments_ffmpeg\MYF_11912_00014.wav,네. 싫어하는 향수가 딥디크 도손입니다.
segments_ffmpeg\MYN_07602_00015.wav,우리가 살아가는 생활 환경이 달라졌다라는 거 그래서 이제는 의류를 수납하는 방법도 달라져야만 하는 때입니다.
segments_ffmpeg\MYQ_13422_00016.wav,지뽀야 숙제하니 아 아니 얘가 얘가 또 하루 종일 핸드폰만 하는 거야 등짝 스매싱
segments_ffmpeg\MYQ_13422_00017.wav,여러분 심리 테스트로 다시 실시간 킨 지뽀입니다 지금 당신은 혼자 등산을 하다 숲 한 가운데에서 길을 잃었습니다 한참을 헤매다 드디어 오두막집 한 채를 발견하게 됩니다.
segments_ffmpeg\KNH_00407_00018.wav,이에 따라 대구시는 즉시 항고를 검토 중이라고 밝혔습니다.
segments_ffmpeg\MYN_07602_00019.wav,자 여러분 다음 영상에서 또 뵙기로 해요.
segments_ffmpeg\MYT_12105_00020.wav,아니 아닙니다.
segments_ffmpeg\KNA_11483_00021.wav,북핵 미사일 위협을 가치 공유 국가들과 연대해 억지하고 우크라이나 재건 노력도 함께 해나가겠단 겁니다.
segments_ffmpeg\MYT_12105_00022.wav,왜 자꾸 쪼개는 거야 지금?
segments_ffmpeg\KNG_06314_00023.wav,검찰이 서울 경찰청에 검사와 수사관을 보내 이태원 참사 전후의 업무 관련 기록을 확보하고 있습니다.
segments_ffmpeg\MYA_06911_00024.wav,하지만 랩터스는 본인들을 이끌 미래의 주역으로
segments_ffmpeg\KNB_06064_00025.wav,두 번째는 하이닉스였습니다.
segments_ffmpeg\KNF_09883_00026.wav,유 씨는 또 마약 한 걸 후회한다고 말하기도 했습니다.
segments_ffmpeg\MYG_08068_00027.wav,그리고 이 체크 크롭은 여기에 원래 입을 생각은 없었는데 옷 갈아입다 보니까.
segments_ffmpeg\KNI_01352_00028.wav,경기 종료 33초 전 이대성이 쐐기 포를 적중시킨 한국가스공사가 KCC를 꺾고 3연패에서 탈출했습니다.
segments_ffmpeg\KNC_02465_00029.wav,오후 들어 말레이시아 경찰의 호송 차량이 등장하고 폴리스라인이 쳐지더니 대사관 직원들이 평양으로 가져갈 것으로 보이는 짐과 여행가방들을 싣습니다.
